# index, node_type, node_subtype, name, _pos
306,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB09,"array([4.52515433, 1.85501156])"
307,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB10,"array([4.5006161 , 1.87024053])"
308,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB11,"array([4.48181833, 1.83586937])"
309,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD01,"array([4.61683494, 1.4838104 ])"
310,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD02,"array([4.59661003, 1.52236816])"
311,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD03,"array([4.6535585 , 1.55923295])"
312,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD04,"array([4.65733209, 1.64115176])"
313,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD05,"array([4.66626138, 1.65997592])"
314,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD06,"array([4.65681666, 1.68980732])"
315,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD07,"array([4.64530998, 1.72204104])"
316,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD08,"array([4.5905338 , 1.78319006])"
317,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD09,"array([4.553959  , 1.81749362])"
318,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD10,"array([4.54560266, 1.86841692])"
319,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD11,"array([4.52015321, 1.90214496])"
320,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD12,"array([4.50252738, 1.89564638])"
321,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD13,"array([4.4877865 , 1.88585051])"
322,MOTOR NEURONS,BODYWALL MUSCLES,dBWML1,"array([4.46994495, 1.45416962])"
323,MOTOR NEURONS,BODYWALL MUSCLES,dBWML2,"array([4.44332071, 1.43575726])"
324,MOTOR NEURONS,BODYWALL MUSCLES,dBWML3,"array([4.39972549, 1.45051581])"
325,MOTOR NEURONS,BODYWALL MUSCLES,dBWML4,"array([4.41914431, 1.4665059 ])"
326,MOTOR NEURONS,BODYWALL MUSCLES,dBWML5,"array([4.41412203, 1.55341516])"
