# index, Country, Internal, Latitude, Longitude, geocode_append, geocode_id, hyperedge, id, label, _pos
115,Czech Republic,1,49.93866,17.90257,,,0,115,Opava,"array([-6.05990018, 18.69288036])"
116,Czech Republic,1,50.08967,17.70385,,,0,116,Krnov,"array([-10.00988174,  14.21271901])"
117,Czech Republic,1,49.98844,17.4647,,,0,117,Bruntal,"array([-5.49620496, 17.4365293 ])"
118,Czech Republic,1,49.77092,17.12144,,,0,118,Unicov,"array([-0.9374032 ,  7.54653322])"
119,Czech Republic,1,50.24161,17.18811,,,0,119,Jesenik,"array([-13.70916545,  14.41367721])"
120,Czech Republic,1,49.75594,16.46829,,,0,120,Svitavy,"array([-16.48600576,  10.73726923])"
121,Czech Republic,1,49.96528,16.97061,,,0,121,Sumperk,"array([-4.91781843, 16.16393072])"
122,Czech Republic,1,49.74323,14.7901,,,0,122,Jemniste,"array([-12.2285078 ,   6.17616305])"
123,Czech Republic,1,49.78162,14.68697,,,0,123,Benesov,"array([-8.50706777, 16.47196058])"
124,Czech Republic,1,49.6174,14.6577,,,0,124,Hostisov,"array([-14.19130038,   6.1569174 ])"
125,Czech Republic,1,49.63267,14.79212,,,0,125,Zvestov,"array([-13.17383155,   6.16395465])"
126,Czech Republic,1,49.63333,14.41667,,3076543,0,126,Doubravice,"array([-15.33458343,   6.44303566])"
127,Czech Republic,1,49.64013,14.63809,,,0,127,Votice,"array([-13.93950235,   5.46754801])"
128,Czech Republic,1,49.63902,14.25344,,3073881,0,128,Kamyk,"array([-17.10770483,   6.35964409])"
129,Czech Republic,1,49.68333,14.3,,3078529,0,129,Brzina,"array([-16.29248827,   6.55071349])"
130,Czech Republic,1,49.41441,14.6578,,,0,130,Tabor,"array([-10.80501764,  12.56407554])"
131,Czech Republic,1,49.66102,14.25116,,3063277,0,131,Velka,"array([-17.41773396,   5.65388019])"
132,Czech Republic,1,49.91454,15.08576,,,0,132,Jindice,"array([-6.71045881, 10.92831951])"
133,Czech Republic,1,49.94839,15.26816,,,0,133,Kutna Hora,"array([-14.67059631,  15.64331824])"
134,Czech Republic,1,49.75,15.38333,,3062466,0,134,Vrbice,"array([-5.49346096, 12.18662571])"
135,Czech Republic,1,49.85,15.26667,,3062893,0,135,Vilemovice,"array([-6.09008533, 11.53960786])"
136,Czech Republic,1,49.95109,15.79558,,,0,136,Chrudim,"array([-13.86906669,  10.59124643])"
137,Czech Republic,1,49.68157,15.54768,,3069040,0,137,Olesna,"array([-4.92769882, 12.90656953])"
138,Czech Republic,1,50.20923,15.83277,,,0,138,Hradec Kralove,"array([-3.41508892, 13.44940935])"
139,Czech Republic,1,50.04075,15.77659,,,0,139,Pardubice,"array([-3.90236378, 13.10430231])"
140,Czech Republic,1,50.16284,16.27488,,,0,140,Rychnov nad Kneznou,"array([-8.78532404, 19.04598618])"
141,Czech Republic,1,50.4167,16.16289,,,0,141,Nachod,"array([-9.40349768, 17.56035917])"
142,Czech Republic,1,48.8555,16.0488,,,0,142,Znojmo,"array([-16.31328524,  15.30353147])"
143,Czech Republic,1,49.01859,15.89489,,3075064,0,143,KS Hostim,"array([-5.24040207, 15.00984135])"
144,,1,0.0,0.0,,,1,144,None,"array([-8.7106856 ,  8.02325976])"
145,,1,0.0,0.0,,,1,145,None,"array([-6.8650587 ,  6.35062726])"
146,,1,0.0,0.0,,,1,146,None,"array([-3.36304554, 18.03111134])"
147,Czech Republic,1,48.90469,16.81605,,,0,147,V. Pavlovice,"array([-0.4582713 , 18.61359159])"
148,Czech Republic,1,48.94085,16.73762,,,0,148,Hustopece,"array([-1.09493699, 17.86480145])"
149,Czech Republic,1,48.75897,16.88203,,,0,149,Breclav,"array([ 0.11754942, 19.39101094])"
150,Czech Republic,1,48.72443,16.96695,,,0,150,Lanzhot,"array([ 0.54524098, 20.97670844])"
151,Czech Republic,1,49.10144,16.37752,,,0,151,Ivancice,"array([-2.82215825, 17.24707244])"
152,Czech Republic,1,49.02359,16.50129,,,0,152,Malesovice,"array([-3.25362806, 16.94828654])"
153,Czech Republic,1,48.9678,16.65344,,3063741,0,153,Uhercice - V.Nemcice,"array([-1.92282867, 17.15466099])"
154,Czech Republic,1,48.85447,16.59283,,,0,154,Dolni Dunajovice,"array([-1.24745608, 16.70679902])"
155,Czech Republic,1,48.76048,16.99446,,,0,155,Tvrdonice,"array([-0.72100698, 21.24504882])"
156,Czech Republic,1,48.90413,17.02917,,,0,156,Mutenico,"array([-1.31663186, 22.01675075])"
157,Czech Republic,1,49.59947,18.1448,,,0,157,Kopfivnice,"array([-15.48456575,  12.84376814])"
158,,1,0.0,0.0,,,0,158,None,"array([-6.04639388, 23.81158116])"
159,Czech Republic,1,49.04217,17.10085,,3078425,0,159,Bukovany,"array([-1.95172645, 22.71166978])"
160,Czech Republic,1,49.07515,17.43338,Zlinsky Kraj,,0,160,Stare Mesto,"array([ 1.55958201, 18.32457597])"
161,Czech Republic,1,49.21667,17.66667,,,0,161,Zlin,"array([ 2.10181874, 17.73434245])"
162,Czech Republic,1,49.54796,17.73469,,,0,162,Hranice,"array([-9.33347513, 15.46539699])"
163,Czech Republic,1,49.59438,18.01028,,,0,163,Novy Jicin,"array([-6.82692412, 23.64178052])"
164,Czech Republic,1,49.62417,18.07431,,,0,164,Libhost,"array([-6.27762804, 23.02807291])"
165,Czech Republic,1,49.47181,17.97113,,,0,165,Valasske Mezihcl,"array([ 2.54133697, 17.1605351 ])"
166,Czech Republic,1,49.33871,17.99619,,,0,166,Vsetin,"array([-16.80086562,  12.21592   ])"
167,,1,0.0,0.0,,,1,167,None,"array([-8.76932332,  1.45808725])"
168,,1,0.0,0.0,,,1,168,None,"array([-10.26513589,   6.26282117])"
169,,1,0.0,0.0,,,1,169,None,"array([-12.87379562,   8.63100695])"
170,,1,0.0,0.0,,,1,170,None,"array([-9.22353084,  2.76480586])"
171,,1,0.0,0.0,,,1,171,None,"array([-7.03898773, 21.09503465])"
172,,1,0.0,0.0,,,1,172,None,"array([-5.2587501 , 22.76804987])"
173,,1,0.0,0.0,,,1,173,None,"array([-0.08524879, 20.44830565])"
174,Czech Republic,1,48.81091,14.31521,,,0,174,Cesky Krumlov,"array([-15.25556264,   9.99363867])"
175,Czech Republic,1,49.44049,12.92976,,,0,175,Domazice,"array([-11.29951657,  17.6047104 ])"
176,Czech Republic,1,49.21492,15.88166,,,0,176,Trebic,"array([-12.73175469,  20.08810755])"
177,Czech Republic,1,49.19522,16.60796,,,0,177,Brno1,"array([-3.06622063, 18.75660229])"
178,Czech Republic,1,49.19522,16.60796,,,0,178,Brno2,"array([-3.17163016, 19.44171768])"
179,Czech Republic,1,49.09401,15.60405,,,0,179,Kninice,"array([-6.27551102, 14.19369017])"
180,Czech Republic,1,49.08154,15.43727,,,0,180,Dacice,"array([-7.21701445, 13.33142489])"
181,Czech Republic,1,49.26667,15.28333,,,0,181,Hefmanec,"array([-8.14307439, 12.46948084])"
182,Czech Republic,1,49.14404,15.00301,,,0,182,Jindnchuv Hradec,"array([-13.48359774,  11.90358562])"
183,Czech Republic,1,49.20154,15.00331,,,0,183,Dolni Radoun,"array([-9.0793442 , 11.62839744])"
184,Slovakia,1,48.17444,16.98418,,,0,184,Thebon,"array([-10.30346616,  16.56805685])"
185,Czech Republic,1,49.43134,15.22336,,,0,185,Pelhrimov,"array([-7.9706552 , 17.80976374])"
186,Czech Republic,1,49.3961,15.59124,,,0,186,Jihlava,"array([-4.9254314 , 14.27766429])"
187,Czech Republic,1,49.55,15.68333,,,0,187,Sachotin,"array([-4.29558372, 13.71245729])"
188,Czech Republic,1,49.60785,15.58069,,,0,188,Haclickuv Brod,"array([-15.15278733,  14.27411654])"
189,Czech Republic,1,49.56263,15.93924,,,0,189,zdar nad Sazavou,"array([-10.27939296,  18.53408954])"
190,Czech Republic,1,49.42608,15.86383,Vysocina,,0,190,Cerna,"array([-3.41844391, 14.41190754])"
191,Czech Republic,1,49.3463,16.09146,,,0,191,Brezejc,"array([-2.87598274, 15.23223845])"
192,Czech Republic,1,49.2,16.2,,3072956,0,192,Kralice,"array([-2.71068867, 16.17957289])"
